County,Population,Index Count,Index Rate,Violent Count,Violent Rate,Property Count,Property Rate,Cluster,Violent %,Property %
Genesee,61593.566666666666,1548.1,2590.56,110.06666666666666,185.15333333333334,1438.0333333333333,2405.4033333333336,2,7.109790495876666,92.89020950412333
Gilchrist County,2271.3333333333335,29.4,10.761305682706528,4.766666666666667,68.58617161412862,24.633333333333333,12.984731102455063,0,16.213151927437643,83.78684807256236
Glades County,3809.733333333333,133.1,11.508408333068909,15.033333333333333,108.47687822597118,118.06666666666666,13.06064895772629,0,11.294765840220386,88.70523415977961
Greene,49465.333333333336,999.3,2097.456666666667,180.6,379.95,818.7,1717.5166666666667,2,18.07265085559892,81.92734914440109
Gulf County,4465.833333333333,91.9,15.050073109601907,20.2,71.70256571561625,71.7,19.416846224136638,0,21.98041349292709,78.0195865070729
Hamilton,5205.766666666666,86.03333333333333,1676.9033333333332,4.333333333333333,85.6,81.7,1591.3133333333333,2,5.0368074389771404,94.96319256102286
Hamilton County,9348.4,270.7,27.733631957323365,40.666666666666664,172.64857282614793,230.03333333333333,33.71318992380388,0,15.02278044575791,84.97721955424208
Hardee County,17632.7,711.0666666666667,19.035236156291397,69.8,201.9596695354049,641.2666666666667,21.2356284123893,0,9.81623851490718,90.1837614850928
Harford County,236195.13333333333,5421.766666666666,49.11228091444499,695.0,366.700472852642,4726.766666666666,57.14425008885386,0,12.81869993175656,87.18130006824344
Hendry County,35434.0,1503.4333333333334,24.9556437212617,202.56666666666666,185.1429968657949,1300.8666666666666,28.93353819740547,0,13.47360485998714,86.52639514001285
Herkimer,66332.26666666666,1352.3666666666666,2100.576666666667,160.43333333333334,249.89,1191.9333333333334,1850.6933333333334,2,11.863153484015678,88.13684651598433
Hernando County,145044.56666666668,4859.533333333334,30.86586551477923,562.7,272.30375859831935,4296.833333333333,35.021261230637556,0,11.579301167464639,88.42069883253535
Highlands County,93560.5,3583.366666666667,28.593183572884456,327.76666666666665,327.3163560231253,3255.6,31.426872981696,0,9.146891656821795,90.8531083431782
Hillsborough County,1158728.7333333334,60705.166666666664,26.401027334259428,6771.533333333334,236.38637958357916,53933.63333333333,29.86318911647917,3,11.154789131073413,88.84521086892659
Holmes County,6950.333333333333,94.93333333333334,28.08844117491838,19.166666666666668,140.25519420655053,75.76666666666667,36.605673287423045,0,20.189606741573034,79.81039325842696
Howard County,271964.13333333336,7759.3,38.68174787511843,611.5666666666667,468.09637203248343,7147.733333333334,42.40886632673932,0,7.8817247260276915,92.1182752739723
Indian River County,124836.5,4456.633333333333,31.054907130586198,377.53333333333336,351.0146503351253,4079.1,34.179387559123334,0,8.47126754874756,91.52873245125244
Jackson County,40601.166666666664,970.8666666666667,37.38668708227643,173.86666666666667,208.17322013854792,797.0,46.32178693176782,0,17.90839799491863,82.09160200508137
Jefferson,118325.63333333333,2612.9,2281.7066666666665,221.66666666666666,193.90666666666667,2391.233333333333,2087.8066666666664,2,8.48354956816819,91.5164504318318
Jefferson County,5448.9,179.1,13.36763736286125,39.766666666666666,58.373271013864965,139.33333333333334,18.016539307628783,0,22.2036106458217,77.7963893541783
Kent County,20082.2,421.6666666666667,54.71346441382158,64.63333333333334,376.8512607189358,357.03333333333336,64.68979492541203,0,15.32806324110672,84.67193675889328
Kings,2553872.2156666666,89332.5,3702.6066666666666,27780.433333333334,1153.4066666666665,61552.066666666666,2549.21,1,31.09779009132548,68.90220990867452
Lafayette County,812.7,10.866666666666667,7.763859138046084,2.7,33.31401949317738,8.166666666666666,10.262236413552762,0,24.846625766871167,75.15337423312883
Lake County,262192.3333333333,8335.633333333333,32.664328725370076,1115.9,260.46161214755364,7219.733333333334,37.57423012339726,0,13.387105158976123,86.61289484102387
Lee County,551020.8,19646.966666666667,31.675700046291794,1813.3666666666666,317.99088077589954,17833.6,35.530002354448115,0,9.229753872099,90.77024612790099
Leon County,263662.4,16627.666666666668,17.828378227747603,1817.3666666666666,159.60014827601518,14810.3,20.122940265373277,0,10.929775675079686,89.0702243249203
