,County,Year,Population,Index Count,Index Rate,Violent Count,Violent Rate,Property Count,Property Rate
315,Frederick County,1995,172506.0,5041.0,34.2205911525491,740.0,233.11621621621623,4301.0,40.10834689607068
316,Frederick County,1996,173531.0,5184.0,33.47434413580247,956.0,181.51778242677824,4228.0,41.04328287606433
317,Frederick County,1997,174282.0,4836.0,36.03846153846154,713.0,244.43478260869566,4123.0,42.27067669172932
318,Frederick County,1998,184690.0,4728.0,39.063028764805416,673.0,274.42793462109955,4055.0,45.5462392108508
319,Frederick County,1999,188117.0,4761.0,39.51207729468599,715.0,263.1006993006993,4046.0,46.49456253089471
320,Frederick County,2000,195277.0,4948.0,39.46584478577203,908.0,215.06277533039648,4040.0,48.33589108910891
321,Frederick County,2001,198177.0,5615.0,35.29421193232413,971.0,204.09577754891865,4644.0,42.673772609819125
322,Frederick County,2002,201237.0,5303.0,37.94776541580237,894.0,225.09731543624162,4409.0,45.64232252211386
323,Frederick County,2003,211070.0,4814.0,43.84503531366847,840.0,251.27380952380952,3974.0,53.11273276295923
324,Frederick County,2004,215568.0,4612.0,46.74067649609714,873.0,246.9278350515464,3739.0,57.65391815993581
325,Frederick County,2005,219311.0,4257.0,51.51773549447968,736.0,297.97690217391306,3521.0,62.28656631638739
326,Frederick County,2006,221305.0,4730.0,46.78752642706131,752.0,294.2885638297872,3978.0,55.63222724987431
327,Frederick County,2007,225374.0,4655.0,48.41546723952739,807.0,279.27385377943,3848.0,58.56912681912682
328,Frederick County,2008,226881.0,4973.0,45.62256183390308,793.0,286.1046658259773,4180.0,54.27775119617225
329,Frederick County,2009,230359.0,4737.0,48.629723453662656,793.0,290.4905422446406,3944.0,58.40745436105477
330,Frederick County,2010,232717.0,4698.0,49.53533418475947,728.0,319.6662087912088,3970.0,58.61889168765743
331,Frederick County,2011,235598.0,4573.0,51.51935272250164,593.0,397.29848229342326,3980.0,59.19547738693468
332,Frederick County,2012,239031.0,4598.0,51.98586341887777,620.0,385.53387096774196,3978.0,60.088235294117645
333,Frederick County,2013,241868.0,4740.0,51.027004219409285,614.0,393.92182410423453,4126.0,58.620455647115854
334,Frederick County,2014,243718.0,4339.0,56.16916340170546,606.0,402.17491749174917,3733.0,65.28743637824806
335,Frederick County,2015,245356.0,4097.0,59.886746399804736,596.0,411.6711409395973,3501.0,70.08169094544417
336,Frederick County,2016,246177.0,3769.0,65.31626426107721,601.0,409.61231281198,3168.0,77.70738636363636
337,Frederick County,2017,249745.0,3636.0,68.68674367436743,692.0,360.9031791907515,2944.0,84.83186141304348
338,Frederick County,2018,252641.0,3523.0,71.71189327277888,533.0,473.99812382739213,2990.0,84.49531772575251
339,Frederick County,2019,257177.0,3416.0,75.28600702576112,570.0,451.1877192982456,2846.0,90.36437104708362
340,Frederick County,2020,261667.0,2671.0,97.96593036315987,448.0,584.078125,2223.0,117.7089518668466
341,Garrett County,1990,28138.0,625.0,45.0208,104.0,270.5576923076923,521.0,54.00767754318618
342,Garrett County,1991,28599.0,588.0,48.63775510204081,78.0,366.65384615384613,510.0,56.076470588235296
343,Garrett County,1992,28881.0,633.0,45.62559241706161,91.0,317.3736263736264,542.0,53.2859778597786
344,Garrett County,1993,29306.0,706.0,41.50991501416431,50.0,586.12,656.0,44.673780487804876
345,Garrett County,1994,29546.0,657.0,44.97108066971081,56.0,527.6071428571429,601.0,49.161397670549086
346,Garrett County,1995,29582.0,594.0,49.8013468013468,57.0,518.9824561403509,537.0,55.08752327746741
347,Garrett County,1996,29757.0,591.0,50.3502538071066,37.0,804.2432432432432,554.0,53.7129963898917
348,Garrett County,1997,29885.0,624.0,47.892628205128204,71.0,420.9154929577465,553.0,54.041591320072335
349,Garrett County,1998,29749.0,601.0,49.499168053244595,32.0,929.65625,569.0,52.28295254833041
350,Garrett County,1999,29448.0,517.0,56.95938104448743,30.0,981.6,487.0,60.46817248459959
351,Garrett County,2000,29846.0,554.0,53.87364620938628,46.0,648.8260869565217,508.0,58.75196850393701
352,Garrett County,2001,30289.0,570.0,53.13859649122807,27.0,1121.8148148148148,543.0,55.78084714548803
353,Garrett County,2002,30757.0,537.0,57.2756052141527,44.0,699.0227272727273,493.0,62.38742393509128
354,Garrett County,2003,30156.0,582.0,51.81443298969072,46.0,655.5652173913044,536.0,56.26119402985075
355,Garrett County,2004,30317.0,491.0,61.74541751527495,55.0,551.2181818181818,436.0,69.53440366972477
356,Garrett County,2005,30353.0,529.0,57.37807183364839,62.0,489.56451612903226,467.0,64.99571734475374
357,Garrett County,2006,29991.0,587.0,51.09199318568995,63.0,476.04761904761904,524.0,57.23473282442748
358,Garrett County,2007,29619.0,610.0,48.55573770491803,64.0,462.796875,546.0,54.247252747252745
359,Garrett County,2008,29391.0,612.0,48.02450980392157,71.0,413.9577464788732,541.0,54.3271719038817
360,Garrett County,2009,29830.0,574.0,51.96864111498258,68.0,438.6764705882353,506.0,58.952569169960476
361,Garrett County,2010,29696.0,532.0,55.81954887218045,49.0,606.0408163265306,483.0,61.4824016563147
362,Garrett County,2011,30382.0,621.0,48.92431561996779,70.0,434.0285714285714,551.0,55.13974591651542
363,Garrett County,2012,30341.0,611.0,49.657937806873974,71.0,427.3380281690141,540.0,56.18703703703704
364,Garrett County,2013,29839.0,700.0,42.62714285714286,128.0,233.1171875,572.0,52.16608391608391
365,Garrett County,2014,29897.0,523.0,57.16443594646272,68.0,439.6617647058824,455.0,65.70769230769231
366,Garrett County,2015,29487.0,521.0,56.59692898272553,58.0,508.3965517241379,463.0,63.68682505399568
367,Garrett County,2016,29166.0,435.0,67.04827586206896,60.0,486.1,375.0,77.776
368,Garrett County,2017,29299.0,492.0,59.550813008130085,53.0,552.811320754717,439.0,66.74031890660592
369,Garrett County,2018,28874.0,406.0,71.11822660098522,70.0,412.48571428571427,336.0,85.93452380952381
370,Garrett County,2019,28898.0,432.0,66.89351851851852,79.0,365.7974683544304,353.0,81.86402266288952
371,Garrett County,2020,28797.0,357.0,80.66386554621849,64.0,449.953125,293.0,98.28327645051195
372,Harford County,1990,182132.0,5751.0,31.66962267431751,589.0,309.22241086587434,5162.0,35.283223556760944
373,Harford County,1991,185120.0,6722.0,27.53942279083606,651.0,284.3625192012289,6071.0,30.492505353319057
374,Harford County,1992,186946.0,6053.0,30.88485048736164,603.0,310.02653399668327,5450.0,34.302018348623854
375,Harford County,1993,197399.0,5680.0,34.75334507042253,539.0,366.23191094619665,5141.0,38.397004473837775
376,Harford County,1994,199021.0,5869.0,33.910546941557335,581.0,342.5490533562823,5288.0,37.636346444780635
377,Harford County,1995,203438.0,5979.0,34.02542231142331,638.0,318.86833855799375,5341.0,38.089870810709606
378,Harford County,1996,204646.0,6216.0,32.92245817245817,554.0,369.3971119133574,5662.0,36.143765453903214
379,Harford County,1997,205533.0,5989.0,34.31841709801302,653.0,314.7519142419602,5336.0,38.518178410794604
380,Harford County,1998,214271.0,5545.0,38.64220018034265,538.0,398.2732342007435,5007.0,42.79428799680447
381,Harford County,1999,216208.0,5440.0,39.74411764705882,563.0,384.0284191829485,4877.0,44.33217141685462
382,Harford County,2000,218590.0,5490.0,39.816029143898,621.0,351.9967793880837,4869.0,44.894228794413635
383,Harford County,2001,221837.0,6370.0,34.825274725274724,677.0,327.6765140324963,5693.0,38.966625680660464
384,Harford County,2002,225262.0,6906.0,32.61830292499276,841.0,267.85017835909633,6065.0,37.14130255564716
385,Harford County,2003,229831.0,6225.0,36.920642570281125,956.0,240.40899581589957,5269.0,43.619472385651925
386,Harford County,2004,234246.0,6246.0,37.50336215177714,885.0,264.6847457627119,5361.0,43.694459988808056
387,Harford County,2005,237388.0,5756.0,41.24183460736623,845.0,280.93254437869825,4911.0,48.33801669721034
388,Harford County,2006,239914.0,5585.0,42.956848701880034,826.0,290.45278450363196,4759.0,50.4126917419626
389,Harford County,2007,242818.0,5950.0,40.80974789915967,933.0,260.2550911039657,5017.0,48.399043252940004
390,Harford County,2008,240963.0,6100.0,39.502131147540986,879.0,274.1331058020478,5221.0,46.15265274851561
391,Harford County,2009,243988.0,5426.0,44.96645779579801,884.0,276.00452488687785,4542.0,53.71818582122413
392,Harford County,2010,246347.0,5355.0,46.00317460317461,853.0,288.80070339976555,4502.0,54.71945801865837
393,Harford County,2011,247147.0,4594.0,53.7977797126687,643.0,384.36547433903576,3951.0,62.55302455074665
394,Harford County,2012,248869.0,4728.0,52.63726734348562,697.0,357.0573888091822,4031.0,61.73877449764326
395,Harford County,2013,250244.0,4725.0,52.96169312169312,662.0,378.012084592145,4063.0,61.59094265321191
396,Harford County,2014,250706.0,4266.0,58.76840131270511,611.0,410.32078559738136,3655.0,68.59261285909713
397,Harford County,2015,250575.0,3747.0,66.87349879903923,598.0,419.0217391304348,3149.0,79.5728802794538
398,Harford County,2016,249859.0,4024.0,62.09219681908549,552.0,452.643115942029,3472.0,71.96399769585254
399,Harford County,2017,251859.0,3389.0,74.31661257007967,538.0,468.13940520446096,2851.0,88.34058225184145
400,Harford County,2018,251139.0,3388.0,74.12603305785125,556.0,451.68884892086334,2832.0,88.67902542372882
401,Harford County,2019,253798.0,2922.0,86.85763175906914,473.0,536.5708245243129,2449.0,103.63331972233564
402,Harford County,2020,255760.0,2217.0,115.36310329273793,411.0,622.2871046228711,1806.0,141.61683277962348
403,Howard County,1990,187328.0,8287.0,22.605044044889585,589.0,318.044142614601,7698.0,24.334632372044688
404,Howard County,1991,190403.0,9057.0,21.02274483824666,620.0,307.1016129032258,8437.0,22.56761882185611
405,Howard County,1992,192284.0,8741.0,21.997940739045877,588.0,327.01360544217687,8153.0,23.584447442659144
406,Howard County,1993,201881.0,8432.0,23.942243833017077,509.0,396.62278978388997,7923.0,25.480373595860154
407,Howard County,1994,203542.0,8860.0,22.97313769751693,587.0,346.74957410562183,8273.0,24.603166928562796
408,Howard County,1995,214511.0,9054.0,23.692401148663574,631.0,339.9540412044374,8423.0,25.467291938739166
409,Howard County,1996,215787.0,9045.0,23.85704809286899,633.0,340.8957345971564,8412.0,25.65228245363766
410,Howard County,1997,216723.0,9283.0,23.34622428094366,554.0,391.19675090252707,8729.0,24.82792988887616
411,Howard County,1998,230639.0,7723.0,29.86391298718115,441.0,522.9909297052154,7282.0,31.672480087887944
412,Howard County,1999,238083.0,7772.0,30.633427689140504,490.0,485.88367346938776,7282.0,32.69472672342763
413,Howard County,2000,247842.0,7834.0,31.636711769211132,503.0,492.727634194831,7331.0,33.807393261492294
414,Howard County,2001,251523.0,8444.0,29.787186167693037,515.0,488.3941747572816,7929.0,31.72190692395006
415,Howard County,2002,255406.0,7855.0,32.51508593252705,473.0,539.970401691332,7382.0,34.59848279599024
416,Howard County,2003,262537.0,7537.0,34.833090088894785,549.0,478.2094717668488,6988.0,37.569690898683454
417,Howard County,2004,266623.0,7465.0,35.71640991292699,609.0,437.8045977011494,6856.0,38.88900233372229
418,Howard County,2005,268769.0,7793.0,34.48851533427435,615.0,437.02276422764226,7178.0,37.44343828364447
419,Howard County,2006,270195.0,7784.0,34.71158787255909,624.0,433.0048076923077,7160.0,37.73673184357542
420,Howard County,2007,273642.0,7827.0,34.96128784975086,590.0,463.8,7237.0,37.81152411220119
421,Howard County,2008,274874.0,8961.0,30.674478294833165,705.0,389.8921985815603,8256.0,33.2938468992248
422,Howard County,2009,279350.0,7771.0,35.94775447175396,751.0,371.9707057256991,7020.0,39.793447293447294
423,Howard County,2010,286963.0,7371.0,38.93135259801927,566.0,507.0017667844523,6805.0,42.16943423952976
424,Howard County,2011,289807.0,7186.0,40.32939048149179,608.0,476.65625,6578.0,44.05700820918212
425,Howard County,2012,295972.0,6999.0,42.28775539362766,580.0,510.29655172413794,6419.0,46.108739679077736
